Fecha,Indice General,Subyacente,  Mercancias,    Alimentos Bebidas y Tabaco,    Mercancias no Alimenticias,  Servicios,    Vivienda,    Educacion (colegiaturas),    Otros Servicios,No Subyacente,  Agropecuarios,    Frutas y Verduras,    Pecuarios,  Energeticos y Tarifas Aut. Gob.,    Energeticos,    Tarifas Aut. por el Gobierno
1969-01-01,0.011595,,,,,,,,,,,,,,,
1969-02-01,0.011636,,,,,,,,,,,,,,,
1969-03-01,0.011648,,,,,,,,,,,,,,,
1969-04-01,0.01168,,,,,,,,,,,,,,,
1969-05-01,0.01168,,,,,,,,,,,,,,,
1969-06-01,0.011721,,,,,,,,,,,,,,,
1969-07-01,0.011766,,,,,,,,,,,,,,,
1969-08-01,0.011779,,,,,,,,,,,,,,,
1969-09-01,0.011889,,,,,,,,,,,,,,,
1969-10-01,0.012014,,,,,,,,,,,,,,,
1969-11-01,0.012015,,,,,,,,,,,,,,,
1969-12-01,0.012106,,,,,,,,,,,,,,,
1970-01-01,0.012198,,,,,,,,,,,,,,,
1970-02-01,0.012196,,,,,,,,,,,,,,,
1970-03-01,0.012232,,,,,,,,,,,,,,,
1970-04-01,0.012248,,,,,,,,,,,,,,,
1970-05-01,0.012274,,,,,,,,,,,,,,,
1970-06-01,0.012348,,,,,,,,,,,,,,,
1970-07-01,0.012409,,,,,,,,,,,,,,,
1970-08-01,0.012466,,,,,,,,,,,,,,,
1970-09-01,0.012496,,,,,,,,,,,,,,,
1970-10-01,0.0125,,,,,,,,,,,,,,,
1970-11-01,0.012568,,,,,,,,,,,,,,,
1970-12-01,0.012674,,,,,,,,,,,,,,,
1971-01-01,0.012799,,,,,,,,,,,,,,,
1971-02-01,0.012852,,,,,,,,,,,,,,,
1971-03-01,0.012901,,,,,,,,,,,,,,,
1971-04-01,0.012967,,,,,,,,,,,,,,,
1971-05-01,0.012994,,,,,,,,,,,,,,,
1971-06-01,0.013053,,,,,,,,,,,,,,,
1971-07-01,0.013043,,,,,,,,,,,,,,,
1971-08-01,0.013162,,,,,,,,,,,,,,,
1971-09-01,0.013205,,,,,,,,,,,,,,,
1971-10-01,0.013218,,,,,,,,,,,,,,,
1971-11-01,0.01324,,,,,,,,,,,,,,,
1971-12-01,0.013303,,,,,,,,,,,,,,,
1972-01-01,0.013362,,,,,,,,,,,,,,,
1972-02-01,0.013403,,,,,,,,,,,,,,,
1972-03-01,0.013476,,,,,,,,,,,,,,,
1972-04-01,0.013561,,,,,,,,,,,,,,,
1972-05-01,0.013588,,,,,,,,,,,,,,,
1972-06-01,0.013689,,,,,,,,,,,,,,,
1972-07-01,0.01374,,,,,,,,,,,,,,,
1972-08-01,0.013831,,,,,,,,,,,,,,,
1972-09-01,0.013894,,,,,,,,,,,,,,,
1972-10-01,0.013904,,,,,,,,,,,,,,,
1972-11-01,0.013994,,,,,,,,,,,,,,,
1972-12-01,0.014042,,,,,,,,,,,,,,,
1973-01-01,0.014246,,,,,,,,,,,,,,,
1973-02-01,0.014363,,,,,,,,,,,,,,,
1973-03-01,0.01449,,,,,,,,,,,,,,,
1973-04-01,0.014719,,,,,,,,,,,,,,,
1973-05-01,0.014876,,,,,,,,,,,,,,,
1973-06-01,0.014998,,,,,,,,,,,,,,,
1973-07-01,0.015382,,,,,,,,,,,,,,,
1973-08-01,0.015629,,,,,,,,,,,,,,,
1973-09-01,0.016001,,,,,,,,,,,,,,,
1973-10-01,0.016206,,,,,,,,,,,,,,,
1973-11-01,0.016406,,,,,,,,,,,,,,,
1973-12-01,0.017043,,,,,,,,,,,,,,,
1974-01-01,0.017653,,,,,,,,,,,,,,,
1974-02-01,0.018052,,,,,,,,,,,,,,,
1974-03-01,0.018191,,,,,,,,,,,,,,,
1974-04-01,0.018438,,,,,,,,,,,,,,,
1974-05-01,0.018583,,,,,,,,,,,,,,,
1974-06-01,0.018766,,,,,,,,,,,,,,,
1974-07-01,0.019038,,,,,,,,,,,,,,,
1974-08-01,0.019239,,,,,,,,,,,,,,,
1974-09-01,0.019457,,,,,,,,,,,,,,,
1974-10-01,0.019843,,,,,,,,,,,,,,,
1974-11-01,0.020394,,,,,,,,,,,,,,,
1974-12-01,0.020553,,,,,,,,,,,,,,,
1975-01-01,0.020816,,,,,,,,,,,,,,,
1975-02-01,0.020931,,,,,,,,,,,,,,,
1975-03-01,0.021063,,,,,,,,,,,,,,,
1975-04-01,0.021241,,,,,,,,,,,,,,,
1975-05-01,0.021525,,,,,,,,,,,,,,,
1975-06-01,0.021891,,,,,,,,,,,,,,,
1975-07-01,0.022066,,,,,,,,,,,,,,,
1975-08-01,0.022257,,,,,,,,,,,,,,,
1975-09-01,0.022419,,,,,,,,,,,,,,,
1975-10-01,0.022534,,,,,,,,,,,,,,,
1975-11-01,0.022692,,,,,,,,,,,,,,,
1975-12-01,0.022877,,,,,,,,,,,,,,,
1976-01-01,0.023319,,,,,,,,,,,,,,,
1976-02-01,0.023755,,,,,,,,,,,,,,,
1976-03-01,0.023988,,,,,,,,,,,,,,,
1976-04-01,0.024156,,,,,,,,,,,,,,,
1976-05-01,0.024325,,,,,,,,,,,,,,,
1976-06-01,0.024423,,,,,,,,,,,,,,,
1976-07-01,0.024629,,,,,,,,,,,,,,,
1976-08-01,0.024865,,,,,,,,,,,,,,,
1976-09-01,0.025713,,,,,,,,,,,,,,,
1976-10-01,0.027161,,,,,,,,,,,,,,,
1976-11-01,0.028388,,,,,,,,,,,,,,,
1976-12-01,0.0291,,,,,,,,,,,,,,,
1977-01-01,0.030027,,,,,,,,,,,,,,,
1977-02-01,0.03069,,,,,,,,,,,,,,,
1977-03-01,0.031225,,,,,,,,,,,,,,,
1977-04-01,0.031697,,,,,,,,,,,,,,,
1977-05-01,0.031976,,,,,,,,,,,,,,,
1977-06-01,0.032368,,,,,,,,,,,,,,,
1977-07-01,0.032734,,,,,,,,,,,,,,,
1977-08-01,0.033405,,,,,,,,,,,,,,,
1977-09-01,0.033998,,,,,,,,,,,,,,,
1977-10-01,0.034258,,,,,,,,,,,,,,,
1977-11-01,0.034632,,,,,,,,,,,,,,,
1977-12-01,0.035112,,,,,,,,,,,,,,,
1978-01-01,0.035892,,,,,,,,,,,,,,,
1978-02-01,0.036408,,,,,,,,,,,,,,,
1978-03-01,0.036787,,,,,,,,,,,,,,,
1978-04-01,0.037196,,,,,,,,,,,,,,,
1978-05-01,0.03756,,,,,,,,,,,,,,,
1978-06-01,0.038077,,,,,,,,,,,,,,,
1978-07-01,0.038723,,,,,,,,,,,,,,,
1978-08-01,0.039109,,,,,,,,,,,,,,,
1978-09-01,0.039555,,,,,,,,,,,,,,,
1978-10-01,0.040034,,,,,,,,,,,,,,,
1978-11-01,0.040446,,,,,,,,,,,,,,,
1978-12-01,0.040789,,,,,,,,,,,,,,,
1979-01-01,0.042237,,,,,,,,,,,,,,,
1979-02-01,0.042845,,,,,,,,,,,,,,,
1979-03-01,0.043426,,,,,,,,,,,,,,,
1979-04-01,0.043815,,,,,,,,,,,,,,,
1979-05-01,0.044389,,,,,,,,,,,,,,,
1979-06-01,0.044881,,,,,,,,,,,,,,,
1979-07-01,0.045425,,,,,,,,,,,,,,,
1979-08-01,0.046112,,,,,,,,,,,,,,,
1979-09-01,0.046678,,,,,,,,,,,,,,,
1979-10-01,0.047493,,,,,,,,,,,,,,,
1979-11-01,0.048104,,,,,,,,,,,,,,,
1979-12-01,0.048956,,,,,,,,,,,,,,,
1980-01-01,0.051342,,,,,,,,,,,,,,,
1980-02-01,0.052529,,,,,,,,,,,,,,,
1980-03-01,0.05361,,,,,,,,,,,,,,,
1980-04-01,0.054547,,,,,,,,,,,,,,,
1980-05-01,0.055437,,,,,,,,,,,,,,,
1980-06-01,0.056536,,,,,,,,,,,,,,,
1980-07-01,0.058115,,,,,,,,,,,,,,,
1980-08-01,0.059319,,,,,,,,,,,,,,,
1980-09-01,0.059978,,,,,,,,,,,,,,,
1980-10-01,0.060886,,,,,,,,,,,,,,,
1980-11-01,0.061942,,,,,,,,,,,,,,,
1980-12-01,0.063567,,,,,,,,,,,,,,,
1981-01-01,0.065615,,,,,,,,,,,,,,,
1981-02-01,0.067227,,,,,,,,,,,,,,,
1981-03-01,0.068665,,,,,,,,,,,,,,,
1981-04-01,0.070213,,,,,,,,,,,,,,,
1981-05-01,0.071275,,,,,,,,,,,,,,,
1981-06-01,0.072271,,,,,,,,,,,,,,,
1981-07-01,0.073544,,,,,,,,,,,,,,,
1981-08-01,0.07506,,,,,,,,,,,,,,,
1981-09-01,0.076456,,,,,,,,,,,,,,,
1981-10-01,0.078153,,,,,,,,,,,,,,,
1981-11-01,0.079657,,,,,,,,,,,,,,,
1981-12-01,0.081801,,,,,,,,,,,,,,,
1982-01-01,0.085866,0.092901,0.093648,0.06971,0.118208,0.088811,0.131908,0.046114,0.07135,0.066882,0.091769,0.083004,0.097056,0.04516,0.041202,0.052458
1982-02-01,0.08924,0.096869,0.097214,0.071632,0.123834,0.093212,0.138348,0.046192,0.075218,0.0688,0.093826,0.08379,0.099993,0.046982,0.041467,0.057353
1982-03-01,0.092499,0.101014,0.10152,0.073617,0.131146,0.096995,0.144199,0.047339,0.078228,0.069947,0.095361,0.078257,0.106534,0.047793,0.041773,0.059159
