Fecha,Indice General,Subyacente,  Mercancias,    Alimentos Bebidas y Tabaco,    Mercancias no Alimenticias,  Servicios,    Vivienda,    Educacion (colegiaturas),    Otros Servicios,No Subyacente,  Agropecuarios,    Frutas y Verduras,    Pecuarios,  Energeticos y Tarifas Aut. Gob.,    Energeticos,    Tarifas Aut. por el Gobierno
1988-01-01,4.63698,4.986074,5.830807,3.947648,7.96253,3.644254,2.816133,1.69691,4.433992,3.675147,4.150617,2.940669,4.966676,3.300657,3.171245,3.514403
1988-01-16,4.799512,5.185715,6.110194,4.199038,8.248156,3.725927,2.892723,1.728968,4.526439,3.748086,4.281287,2.95347,5.179645,3.321931,3.171245,3.577675
1988-02-01,5.041704,5.517372,6.561276,4.461064,8.930986,3.879873,3.006278,1.850041,4.710643,3.780023,4.317984,2.938825,5.252396,3.350038,3.171245,3.661274
1988-02-16,5.181865,5.7114,6.771719,4.583355,9.249473,4.044708,3.186755,1.896058,4.884811,3.793793,4.342382,2.875713,5.338639,3.354301,3.171248,3.673948
1988-03-01,5.332375,5.910858,7.008879,4.699212,9.642232,4.185019,3.382893,1.904372,5.012725,3.828572,4.413062,2.954738,5.402675,3.356776,3.169,3.685776
1988-03-16,5.414722,5.98847,7.086733,4.74165,9.764378,4.259798,3.433536,1.907634,5.111727,3.918414,4.598201,3.214524,5.532951,3.360826,3.169012,3.697798
1988-04-01,5.526643,6.101765,7.183638,4.786411,9.928837,4.392384,3.639733,1.913197,5.221007,4.022962,4.827747,3.595631,5.652603,3.352622,3.155151,3.700943
1988-04-16,5.55124,6.141855,7.217176,4.806907,9.978043,4.440351,3.719104,1.918194,5.257451,4.011815,4.803951,3.482372,5.692531,3.352876,3.155151,3.701699
1988-05-01,5.615513,6.221396,7.262867,4.824808,10.060523,4.564688,3.949499,1.97448,5.332459,4.039328,4.873469,3.590331,5.734061,3.342372,3.136904,3.706722
1988-05-16,5.676704,6.258554,7.285049,4.834609,10.098855,4.621601,4.024428,1.978013,5.386959,4.152167,5.108892,4.096568,5.774912,3.344807,3.136904,3.713963
1988-06-01,5.73971,6.313979,7.307913,4.840184,10.145341,4.720794,4.21513,1.987775,5.447267,4.229793,5.272525,4.299233,5.909172,3.344948,3.136904,3.714382
1988-06-16,5.782874,6.337557,7.309679,4.850185,10.134183,4.774128,4.282646,2.005324,5.498095,4.315304,5.452946,4.377517,6.160221,3.344949,3.136904,3.714384
1988-07-01,5.844765,6.37918,7.307435,4.867835,10.101577,4.875778,4.496451,2.042037,5.546091,4.420345,5.674412,4.340972,6.562498,3.345097,3.136904,3.714826
1988-07-16,5.870151,6.395896,7.311964,4.880686,10.092685,4.909005,4.564703,2.049372,5.563294,4.46423,5.766788,4.305923,6.744346,3.345298,3.136904,3.715424
1988-08-01,5.908971,6.452324,7.337824,4.88587,10.146992,5.00638,4.757301,2.060585,5.619225,4.462004,5.761151,4.250692,6.773958,3.346158,3.137813,3.716175
1988-08-16,5.913717,6.450338,7.306666,4.845033,10.134866,5.045265,4.826559,2.102974,5.641172,4.481695,5.802674,4.397578,6.740291,3.346181,3.137813,3.716245
1988-09-01,5.944982,6.473339,7.246507,4.798283,10.061989,5.183858,5.024024,2.976358,5.6571,4.53033,5.90275,4.559164,6.795697,3.348507,3.137813,3.723161
1988-09-16,5.945298,6.458728,7.200983,4.803746,9.943906,5.212959,5.080377,2.996691,5.672376,4.564166,5.973304,4.653071,6.848958,3.349274,3.137813,3.725444
1988-10-01,5.973527,6.497841,7.199339,4.808268,9.932979,5.30783,5.293118,3.006197,5.712755,4.566862,5.962878,4.569218,6.890741,3.364035,3.154998,3.735193
1988-10-16,6.007449,6.516504,7.200644,4.817053,9.922585,5.350174,5.356169,3.007996,5.749251,4.633771,6.103689,4.551915,7.142303,3.364365,3.154998,3.736175
1988-11-01,6.057258,6.550223,7.207271,4.830017,9.918571,5.420707,5.528177,3.008301,5.772236,4.717826,6.269812,4.673066,7.338637,3.37465,3.169273,3.738393
1988-11-16,6.084052,6.574229,7.220896,4.85117,9.918793,5.458465,5.591696,3.010454,5.800554,4.749863,6.336287,4.718165,7.4196,3.375675,3.169713,3.740568
1988-12-01,6.176146,6.66661,7.301273,4.956158,9.950628,5.564671,5.797017,3.010756,5.86575,4.837786,6.520598,5.025677,7.514604,3.376776,3.169713,3.743841
1988-12-16,6.21849,6.700132,7.307897,4.990629,9.913465,5.634741,5.873014,3.010756,5.942649,4.898323,6.64695,5.260376,7.562783,3.378035,3.169713,3.747587
1989-01-01,6.321102,6.850729,7.387626,5.120018,9.906136,5.879637,6.15092,3.129273,6.189572,4.889206,6.612432,5.239145,7.51919,3.392033,3.169713,3.78922
1989-01-16,6.376947,6.941688,7.441781,5.195138,9.920831,6.019158,6.241965,3.198668,6.368323,4.86402,6.536546,5.108859,7.48268,3.412866,3.169713,3.851181
1989-02-01,6.425627,7.017482,7.460654,5.202929,9.954289,6.17214,6.482728,3.274435,6.484115,4.849918,6.505381,4.965167,7.531681,3.414158,3.168725,3.85699
1989-02-16,6.44474,7.052746,7.466878,5.205567,9.965216,6.246895,6.553651,3.281117,6.571099,4.832014,6.466289,4.79163,7.588388,3.415362,3.168725,3.86057
1989-03-01,6.487045,7.115235,7.494053,5.222404,10.004733,6.356778,6.727094,3.304496,6.657865,4.82735,6.453111,4.73048,7.609385,3.418419,3.169608,3.867908
1989-03-16,6.52284,7.147954,7.518746,5.247574,10.025427,6.399673,6.78429,3.304685,6.698839,4.868681,6.525313,4.844961,7.650848,3.432162,3.169608,3.90878
1989-04-01,6.589675,7.20589,7.566786,5.28369,10.085495,6.469591,6.919197,3.311419,6.74109,4.952948,6.701178,5.171659,7.717885,3.433931,3.15243,3.948182
1989-04-16,6.614775,7.23061,7.586114,5.300368,10.106355,6.501061,6.979521,3.324747,6.759045,4.977948,6.748839,5.290553,7.714513,3.43859,3.15243,3.96204
1989-05-01,6.669997,7.281176,7.609894,5.315905,10.139698,6.58747,7.164469,3.34794,6.799026,5.041518,6.88935,5.621023,7.718796,3.432745,3.137771,3.973786
1989-05-16,6.716203,7.305674,7.622816,5.32297,10.159937,6.627375,7.215072,3.351798,6.838165,5.134721,7.084476,6.033214,7.757901,3.434141,3.137771,3.97794
1989-06-01,6.763355,7.351787,7.64033,5.333226,10.186321,6.712015,7.38534,3.378379,6.883046,5.182405,7.182869,6.133047,7.854263,3.436172,3.137771,3.98398
1989-06-16,6.785414,7.371092,7.647124,5.353851,10.170907,6.748198,7.427351,3.391761,6.919505,5.209807,7.238848,6.194374,7.905875,3.437856,3.137771,3.988989
1989-07-01,6.829025,7.417352,7.64521,5.364001,10.150653,6.860362,7.626551,3.388536,6.998847,5.24579,7.310083,6.297245,7.953933,3.442147,3.137771,4.001751
1989-07-16,6.855271,7.440061,7.65683,5.370704,10.168315,6.897854,7.678355,3.397366,7.032543,5.278974,7.37959,6.417777,7.986522,3.442613,3.137771,4.003137
1989-08-01,6.897186,7.494134,7.678802,5.396238,10.181896,6.995097,7.862513,3.408794,7.093025,5.291952,7.397485,6.410901,8.02181,3.451304,3.137771,4.028985
1989-08-16,6.917479,7.537017,7.705973,5.417118,10.215173,7.058579,7.934965,3.447093,7.155849,5.260718,7.329792,6.205504,8.052522,3.452945,3.13876,4.031901
1989-09-01,6.953193,7.605849,7.725266,5.43024,10.241425,7.194499,8.149819,3.931714,7.205955,5.220671,7.239032,5.977038,8.060404,3.458682,3.13876,4.048965
1989-09-16,6.993593,7.654645,7.754878,5.465189,10.258901,7.268564,8.225687,3.950846,7.287382,5.240674,7.233709,5.895677,8.109089,3.502213,3.202585,4.051592
1989-10-01,7.060303,7.738119,7.824821,5.541183,10.310281,7.368285,8.402429,3.950846,7.357768,5.267173,7.220162,5.834396,8.129552,3.565831,3.296377,4.054405
1989-10-16,7.092747,7.794055,7.877438,5.550518,10.422645,7.427066,8.492783,3.963755,7.405515,5.245605,7.173816,5.690491,8.152906,3.566599,3.296377,4.056689
1989-11-01,7.151367,7.854634,7.916821,5.573647,10.481874,7.515351,8.684353,3.963755,7.447845,5.297581,7.249948,5.792428,8.209949,3.597313,3.341447,4.058466
1989-11-16,7.200347,7.918835,7.980503,5.630542,10.547603,7.578215,8.753457,3.964992,7.516154,5.310507,7.2738,5.673689,8.334735,3.600448,3.341447,4.06779
1989-12-01,7.327824,8.037756,8.063633,5.712293,10.621876,7.743384,8.987364,3.980806,7.664253,5.452336,7.42115,5.760628,8.523442,3.739572,3.504695,4.15714
1989-12-16,7.508235,8.195588,8.23092,5.93996,10.674019,7.882921,9.092018,3.980806,7.843969,5.676569,7.656034,6.098769,8.682654,3.957773,3.542044,4.731888
1990-01-01,7.729411,8.385632,8.357787,6.114997,10.709898,8.155234,9.343224,4.036122,8.161026,5.959218,7.863485,6.505102,8.746859,4.313987,3.542045,5.791345
1990-01-16,7.822663,8.473503,8.406372,6.159797,10.757896,8.295239,9.43057,4.104432,8.34285,6.060987,8.02839,6.764303,8.843166,4.359618,3.542476,5.926205
1990-02-01,7.914669,8.564141,8.462586,6.20844,10.818352,8.431121,9.636573,4.134528,8.454824,6.15252,8.188049,7.035422,8.922102,4.390273,3.541528,6.019262
1990-02-16,7.989572,8.604808,8.489109,6.231589,10.846571,8.490267,9.70503,4.145737,8.515878,6.301461,8.497772,7.69044,8.983642,4.394423,3.541528,6.031607
1990-03-01,8.066691,8.677226,8.528912,6.269527,10.88399,8.605982,9.924754,4.150858,8.588578,6.386181,8.663769,7.976689,9.062611,4.406107,3.541528,6.066356
1990-03-16,8.117932,8.753588,8.581011,6.32481,10.924301,8.713833,10.003263,4.162167,8.727423,6.379033,8.633081,7.702372,9.205109,4.420403,3.541528,6.108874
1990-04-01,8.180866,8.841275,8.643012,6.384227,10.982093,8.834634,10.254046,4.180276,8.789536,6.383951,8.652186,7.55131,9.344766,4.412407,3.506638,6.154431
1990-04-16,8.250078,8.93176,8.737638,6.443888,11.118102,8.91642,10.334151,4.189285,8.883061,6.402728,8.683768,7.533018,9.411413,4.419767,3.506638,6.176323
1990-05-01,8.320461,9.039817,8.813995,6.511126,11.198424,9.065349,10.573225,4.199828,9.001027,6.385776,8.655372,7.389243,9.465178,4.413016,3.471782,6.225518
1990-05-16,8.397217,9.143445,8.943644,6.650121,11.296544,9.129249,10.633679,4.2116,9.074719,6.399224,8.591809,7.22496,9.473735,4.497222,3.552988,6.314578
1990-06-01,8.510616,9.281168,9.071301,6.776304,11.409611,9.276629,10.889837,4.234064,9.17881,6.453622,8.49281,6.927225,9.516767,4.693022,3.796349,6.413278
1990-06-16,8.575262,9.358701,9.160363,6.83815,11.528847,9.335546,10.957953,4.281464,9.235133,6.486837,8.504013,6.898951,9.555868,4.746948,3.796349,6.573665
1990-07-01,8.663005,9.466326,9.245527,6.926016,11.598597,9.471134,11.225664,4.303348,9.312494,6.526552,8.558199,6.919117,9.633639,4.774067,3.796349,6.654324
1990-07-16,8.734467,9.547043,9.319276,6.994895,11.670109,9.559004,11.312877,4.311989,9.412452,6.574486,8.646477,7.010779,9.718611,4.785847,3.796349,6.689359
1990-08-01,8.824874,9.651557,9.410567,7.084447,11.752019,9.678658,11.563204,4.354793,9.469766,6.62974,8.754094,6.986031,9.91905,4.794057,3.801075,6.704385
1990-08-16,8.869028,9.705099,9.456631,7.097813,11.842387,9.740942,11.634223,4.413183,9.528835,6.651106,8.785179,6.898213,10.034188,4.806877,3.803798,6.737102
1990-09-01,8.946293,9.812262,9.497415,7.12675,11.896041,9.937518,11.892326,5.306694,9.607159,6.658252,8.797055,6.792636,10.129283,4.80981,3.803798,6.745824
1990-09-16,8.999832,9.860602,9.547677,7.159236,11.967055,9.981617,11.960314,5.337088,9.640272,6.721425,8.887326,6.934096,10.182307,4.849211,3.859394,6.752521
1990-10-01,9.077561,9.959279,9.630683,7.244385,12.035794,10.099046,12.205126,5.340108,9.70189,6.749126,8.896461,6.925511,10.203923,4.894377,3.897301,6.81152
1990-10-16,9.126559,10.029595,9.704812,7.304105,12.122335,10.161769,12.283545,5.351194,9.763422,6.748357,8.847214,6.818995,10.195817,4.937997,3.897343,6.941172
1990-11-01,9.234761,10.130117,9.770927,7.3476,12.214573,10.307194,12.535708,5.357461,9.86846,6.869673,8.945942,7.042488,10.205004,5.082014,4.106311,6.954213
1990-11-16,9.452685,10.290143,9.92655,7.528141,12.311242,10.468238,12.662013,5.378363,10.070117,7.209305,9.238326,7.509531,10.370462,5.470558,4.579797,7.168831
1990-12-01,9.579937,10.442436,10.048463,7.635694,12.439179,10.658136,12.948965,5.44623,10.223908,7.275404,9.366876,7.678395,10.46909,5.480555,4.579842,7.198476
