Date,M2_REAL,TBL,TMS,SHR,MSC,U,JWG,CFNAI,SAHM,ENERGY,OIL,SH_ALL,SH_IND,SH_EN,SH_FOOD,SH_LAB,SH_USA
1970-01-01,1555.6728232189976,7.87,-0.08000000000000007,8.98,,3.9,,-1.35,0.3,,,59.518314,12.803358,9.6890278,10.727139,26.29879,62.486835
1970-02-01,1538.8451443569552,7.13,0.11000000000000032,8.98,,4.2,,-0.15,0.53,,,48.068642,13.414504,5.5893769,5.9620018,23.102757,45.392784
1970-03-01,1533.420365535248,6.63,0.4400000000000004,7.76,,4.4,,-0.57,0.8,,,44.972244,6.5652909,10.176201,6.8935556,21.337194,48.457054
1970-04-01,1528.3116883116882,6.51,0.8799999999999999,8.1,,4.6,,-0.7,1.07,,,71.558815,19.609867,11.697114,17.201639,23.050196,74.451347
1970-05-01,1532.3834196891191,6.84,1.0700000000000003,7.95,,4.8,,-0.32,1.27,,,42.132355,10.616026,3.3175082,5.6397638,22.559055,41.839882
1970-06-01,1534.0206185567013,6.68,1.1600000000000001,7.61,,4.9,,-0.27,1.37,,,58.311836,13.866839,7.4667597,11.02236,25.955879,62.168232
1970-07-01,1540.1028277634962,6.45,1.0099999999999998,7.21,,5.0,,0.0,1.43,,,77.065712,15.260536,22.127777,16.405077,23.272318,68.346397
1970-08-01,1551.025641025641,6.41,1.12,6.62,,5.1,,-0.56,1.47,,,86.593826,13.043422,32.608551,15.579641,25.362209,92.947533
1970-09-01,1559.1836734693877,6.12,1.2699999999999996,6.29,,5.4,,-0.64,1.6,,,84.928505,18.831972,40.617977,6.6465783,18.831972,87.847519
1970-10-01,1564.4670050761422,5.91,1.42,6.2,,5.5,,-1.8,1.8,,,80.797173,13.407391,30.343042,11.996087,25.050652,78.376915
1970-11-01,1568.4343434343434,5.28,1.5599999999999996,5.6,,5.9,,-1.03,2.03,,,71.424469,12.465591,22.909737,10.444145,25.605,70.495247
1970-12-01,1574.1206030150754,4.87,1.5199999999999996,4.9,,6.1,,1.65,2.27,,,86.699982,16.548544,25.182566,20.865555,24.103313,86.617783
